experiment_id,split,source,tier,map_side,days,agents,spot_counts,fuel_profiles,role_modes,first_seed,count,scope,authority
SCORE-TERMINAL-COORDINATE-ASCENT-191,consumed,btc-replay,very-hard,32,10,8,24,high,native,0,2,m-3877-and-m-3896-post-takeover-fixed-point,opened-190
SCORE-TERMINAL-COORDINATE-ASCENT-191,development,new-dense-stratified,easy,14,5,4,12|14,default|high,fixed|native,4730000,12,round1-versus-fixed-point-equivalence,fresh-development
SCORE-TERMINAL-COORDINATE-ASCENT-191,development,new-dense-stratified,medium,20,7,4,12|14|18,default|high,fixed|native,4731000,12,round1-versus-fixed-point-score,fresh-development
SCORE-TERMINAL-COORDINATE-ASCENT-191,development,new-dense-stratified,hard,26,8,6,12|14|18|24,default|high,fixed|native,4732000,15,round1-versus-fixed-point-score,fresh-development
SCORE-TERMINAL-COORDINATE-ASCENT-191,development,new-dense-stratified,very-hard,32,10,8,12|14|18|24|30,default|high,fixed|native,4733000,15,round1-versus-fixed-point-score,fresh-development
SCORE-TERMINAL-COORDINATE-ASCENT-191,holdout,new-dense-stratified,easy,14,5,4,12|14,default|high,fixed|native,4740000,24,paired-round1-versus-fixed-point-tier-tail,sealed
SCORE-TERMINAL-COORDINATE-ASCENT-191,holdout,new-dense-stratified,medium,20,7,4,12|14|18,default|high,fixed|native,4741000,24,paired-round1-versus-fixed-point-tier-tail,sealed
SCORE-TERMINAL-COORDINATE-ASCENT-191,holdout,new-dense-stratified,hard,26,8,6,12|14|18|24,default|high,fixed|native,4742000,30,paired-round1-versus-fixed-point-tier-tail,sealed
SCORE-TERMINAL-COORDINATE-ASCENT-191,holdout,new-dense-stratified,very-hard,32,10,8,12|14|18|24|30,default|high,fixed|native,4743000,30,paired-round1-versus-fixed-point-tier-tail,sealed
SCORE-TERMINAL-COORDINATE-ASCENT-191,btc,target-host,public-match,0,0,0,configured,configured,native,0,1,latency-validity-and-multi-round-takeover,btc-authoritative
