experiment_id,split,suite,first_seed,count,budget_ms,role_ms,role_mode,fuel_profile,spot_count,players,public_window_ms,scope,authority
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,general,9800000,3,3375,5000,fixed,low,0,8,5000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,general,9800100,3,3375,5000,deadline,generated,0,9,10000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-12,9801000,3,3375,5000,fixed,low,12,10,15000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-12,9801100,3,3375,5000,deadline,high,12,8,5000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-16,9802000,3,3375,5000,fixed,default,16,9,10000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-16,9802100,3,3375,5000,deadline,low,16,10,15000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-24,9803000,2,3375,5000,fixed,high,24,8,5000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-24,9803100,2,3375,5000,deadline,default,24,9,10000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-32,9804000,2,3375,5000,fixed,low,30,10,15000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-32,9804100,2,3375,5000,deadline,high,30,8,5000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-24,9805000,2,3375,5000,fixed,generated,18,10,10000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,development,multiteam-16,9805100,2,3375,5000,deadline,generated,16,9,15000,terminal-stock-marginal-reservoir,fresh-development
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,general,9810000,5,3375,5000,deadline,high,0,10,5000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,general,9810100,5,3375,5000,fixed,default,0,8,10000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-12,9811000,5,3375,5000,deadline,low,12,9,15000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-12,9811100,5,3375,5000,fixed,generated,12,10,5000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-16,9812000,5,3375,5000,deadline,default,16,8,10000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-16,9812100,5,3375,5000,fixed,high,16,9,15000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-24,9813000,4,3375,5000,deadline,low,24,10,5000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-24,9813100,4,3375,5000,fixed,generated,20,8,10000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-32,9814000,4,3375,5000,deadline,default,30,9,15000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-32,9814100,4,3375,5000,fixed,high,30,10,5000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-24,9815000,4,3375,5000,deadline,default,18,8,10000,terminal-stock-marginal-reservoir,sealed-holdout
SCORE-TERMINAL-STOCK-MARGINAL-RESERVOIR-258,holdout,multiteam-16,9815100,4,3375,5000,fixed,low,16,10,15000,terminal-stock-marginal-reservoir,sealed-holdout
