experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-balanced,low,4,2400000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-balanced,low,4,2400001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-duplicate,low,4,2400100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-duplicate,low,4,2400101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,threshold-loop,low,4,2400200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,threshold-loop,low,4,2400201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,jam-loop,low,4,2400300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,jam-loop,low,4,2400301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-stock,low,4,2400400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-stock,low,4,2400401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-terminal,low,4,2400500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-terminal,low,4,2400501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-balanced,default,4,2410000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-balanced,default,4,2410001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-duplicate,default,4,2410100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-duplicate,default,4,2410101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,threshold-loop,default,4,2410200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,threshold-loop,default,4,2410201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,jam-loop,default,4,2410300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,jam-loop,default,4,2410301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-stock,default,4,2410400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-stock,default,4,2410401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-terminal,default,4,2410500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-terminal,default,4,2410501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-balanced,high,4,2420000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-balanced,high,4,2420001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-duplicate,high,4,2420100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-duplicate,high,4,2420101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,threshold-loop,high,4,2420200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,threshold-loop,high,4,2420201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,jam-loop,high,4,2420300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,jam-loop,high,4,2420301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-stock,high,4,2420400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-stock,high,4,2420401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,development,traffic-terminal,high,4,2420500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-F0-UPPER-126,holdout,traffic-terminal,high,4,2420501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
