experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-balanced,low,4,2200000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-balanced,low,4,2200001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-duplicate,low,4,2200100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-duplicate,low,4,2200101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,threshold-loop,low,4,2200200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,threshold-loop,low,4,2200201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,jam-loop,low,4,2200300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,jam-loop,low,4,2200301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-stock,low,4,2200400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-stock,low,4,2200401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-terminal,low,4,2200500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-terminal,low,4,2200501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-balanced,default,4,2210000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-balanced,default,4,2210001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-duplicate,default,4,2210100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-duplicate,default,4,2210101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,threshold-loop,default,4,2210200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,threshold-loop,default,4,2210201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,jam-loop,default,4,2210300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,jam-loop,default,4,2210301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-stock,default,4,2210400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-stock,default,4,2210401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-terminal,default,4,2210500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-terminal,default,4,2210501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-balanced,high,4,2220000,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-balanced,high,4,2220001,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-duplicate,high,4,2220100,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-duplicate,high,4,2220101,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,threshold-loop,high,4,2220200,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,threshold-loop,high,4,2220201,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,jam-loop,high,4,2220300,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,jam-loop,high,4,2220301,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-stock,high,4,2220400,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-stock,high,4,2220401,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,development,traffic-terminal,high,4,2220500,1,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
SCORE-TRAFFIC-UPPER-LANE-119,holdout,traffic-terminal,high,4,2220501,3,2,3,6,all-patrol,complete-two-active-patrol-own-traffic-full-match-dp
