experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
SCORE-W0-SUFFIX-PRESERVE-113,development,cycle-balanced,low,4,2000000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,cycle-balanced,low,4,2000001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,cycle-duplicate,low,4,2000100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,cycle-duplicate,low,4,2000101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,rare-loop,low,4,2000200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,rare-loop,low,4,2000201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,stock-crossing,low,4,2000300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,stock-crossing,low,4,2000301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,fuel-circuit,low,4,2000400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,fuel-circuit,low,4,2000401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,terminal-loop,low,4,2000500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,terminal-loop,low,4,2000501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,cycle-balanced,default,4,2010000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,cycle-balanced,default,4,2010001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,cycle-duplicate,default,4,2010100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,cycle-duplicate,default,4,2010101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,rare-loop,default,4,2010200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,rare-loop,default,4,2010201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,stock-crossing,default,4,2010300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,stock-crossing,default,4,2010301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,fuel-circuit,default,4,2010400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,fuel-circuit,default,4,2010401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,terminal-loop,default,4,2010500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,terminal-loop,default,4,2010501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,cycle-balanced,high,4,2020000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,cycle-balanced,high,4,2020001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,cycle-duplicate,high,4,2020100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,cycle-duplicate,high,4,2020101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,rare-loop,high,4,2020200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,rare-loop,high,4,2020201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,stock-crossing,high,4,2020300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,stock-crossing,high,4,2020301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,fuel-circuit,high,4,2020400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,fuel-circuit,high,4,2020401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,development,terminal-loop,high,4,2020500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W0-SUFFIX-PRESERVE-113,holdout,terminal-loop,high,4,2020501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
