experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
SCORE-W1-CLOSED-LOOP-114,development,diamond-balanced,low,4,2100000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,diamond-balanced,low,4,2100001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,diamond-duplicate,low,4,2100100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,diamond-duplicate,low,4,2100101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,rare-diamond,low,4,2100200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,rare-diamond,low,4,2100201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,stock-diamond,low,4,2100300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,stock-diamond,low,4,2100301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,fuel-diamond,low,4,2100400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,fuel-diamond,low,4,2100401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,terminal-diamond,low,4,2100500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,terminal-diamond,low,4,2100501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,diamond-balanced,default,4,2110000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,diamond-balanced,default,4,2110001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,diamond-duplicate,default,4,2110100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,diamond-duplicate,default,4,2110101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,rare-diamond,default,4,2110200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,rare-diamond,default,4,2110201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,stock-diamond,default,4,2110300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,stock-diamond,default,4,2110301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,fuel-diamond,default,4,2110400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,fuel-diamond,default,4,2110401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,terminal-diamond,default,4,2110500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,terminal-diamond,default,4,2110501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,diamond-balanced,high,4,2120000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,diamond-balanced,high,4,2120001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,diamond-duplicate,high,4,2120100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,diamond-duplicate,high,4,2120101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,rare-diamond,high,4,2120200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,rare-diamond,high,4,2120201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,stock-diamond,high,4,2120300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,stock-diamond,high,4,2120301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,fuel-diamond,high,4,2120400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,fuel-diamond,high,4,2120401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,development,terminal-diamond,high,4,2120500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-CLOSED-LOOP-114,holdout,terminal-diamond,high,4,2120501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
