experiment_id,split,family,fuel_profile,horizon,first_seed,count,active_agents,total_agents,spot_count,role_mode,oracle_scope
SCORE-W1-TERMINAL-FRONTIER-109,development,branched-balanced,low,4,1800000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,branched-balanced,low,4,1800001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,branched-duplicate,low,4,1800100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,branched-duplicate,low,4,1800101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,rare-fork,low,4,1800200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,rare-fork,low,4,1800201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,stock-race,low,4,1800300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,stock-race,low,4,1800301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,fuel-split,low,4,1800400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,fuel-split,low,4,1800401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,terminal-fork,low,4,1800500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,terminal-fork,low,4,1800501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,branched-balanced,default,4,1810000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,branched-balanced,default,4,1810001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,branched-duplicate,default,4,1810100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,branched-duplicate,default,4,1810101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,rare-fork,default,4,1810200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,rare-fork,default,4,1810201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,stock-race,default,4,1810300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,stock-race,default,4,1810301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,fuel-split,default,4,1810400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,fuel-split,default,4,1810401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,terminal-fork,default,4,1810500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,terminal-fork,default,4,1810501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,branched-balanced,high,4,1820000,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,branched-balanced,high,4,1820001,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,branched-duplicate,high,4,1820100,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,branched-duplicate,high,4,1820101,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,rare-fork,high,4,1820200,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,rare-fork,high,4,1820201,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,stock-race,high,4,1820300,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,stock-race,high,4,1820301,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,fuel-split,high,4,1820400,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,fuel-split,high,4,1820401,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,development,terminal-fork,high,4,1820500,1,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
SCORE-W1-TERMINAL-FRONTIER-109,holdout,terminal-fork,high,4,1820501,3,2,3,6,all-patrol,complete-two-active-patrol-full-match-dp
