experiment_id,split,suite,first_seed,count,role_mode,role_mask,budget_ms,gate
SEM-CANONICAL-LABELS-174,anchor,general,1730005,1,fixed,0,5000,consumed-metamorphic-attribution
SEM-CANONICAL-LABELS-174,development,general,1740000,12,fixed,0,5000,candidate-vs-parent-plus-spot-brand-metamorphic
SEM-CANONICAL-LABELS-174,development,general,1740100,6,deadline,0,5000,candidate-vs-parent-native-role
SEM-CANONICAL-LABELS-174,holdout,general,1741000,36,fixed,0,5000,candidate-vs-parent-plus-spot-brand-metamorphic
SEM-CANONICAL-LABELS-174,holdout,general,1741100,18,deadline,0,5000,candidate-vs-parent-native-role
SEM-CANONICAL-LABELS-174,holdout,btc-lowfuel,1742000,6,fixed,0,5000,candidate-vs-parent
SEM-CANONICAL-LABELS-174,holdout,btc-large,1742100,6,fixed,0,5000,candidate-vs-parent
SEM-CANONICAL-LABELS-174,holdout,btc-highfuel,1742200,6,fixed,0,5000,candidate-vs-parent
SEM-CANONICAL-LABELS-174,holdout,btc-lowfuel,1742300,3,deadline,0,5000,candidate-vs-parent-native-role
SEM-CANONICAL-LABELS-174,holdout,btc-large,1742400,3,deadline,0,5000,candidate-vs-parent-native-role
SEM-CANONICAL-LABELS-174,holdout,btc-highfuel,1742500,3,deadline,0,5000,candidate-vs-parent-native-role
